C,Kernel,grado,exactitud,intervalo,tiempo_ejecucion
0.0100,0-lineal,1,1.0000,0.0000,53.8732
0.1000,0-lineal,1,0.9993,0.0014,44.3995
1.0000,0-lineal,1,0.9971,0.0028,51.2459
10.0000,0-lineal,1,0.9971,0.0028,51.6537
100.0000,0-lineal,1,0.9971,0.0028,52.0848
1000.0000,0-lineal,1,0.9971,0.0028,50.0775
0.0100,1-polinomial,1,0.7951,0.0213,2.7257
0.0100,1-polinomial,2,0.9826,0.0069,9.5601
0.0100,1-polinomial,3,0.9877,0.0058,10.9674
0.0100,1-polinomial,4,0.9870,0.0060,12.6432
0.1000,1-polinomial,1,0.9920,0.0047,6.3821
0.1000,1-polinomial,2,0.9920,0.0047,3.4888
0.1000,1-polinomial,3,0.9906,0.0051,3.6943
0.1000,1-polinomial,4,0.4881,0.0264,17.4257
1.0000,1-polinomial,1,1.0000,0.0000,65.6894
1.0000,1-polinomial,2,0.9957,0.0035,3.9312
1.0000,1-polinomial,3,0.9920,0.0047,6.3101
1.0000,1-polinomial,4,0.9913,0.0049,5.9333
10.0000,1-polinomial,1,1.0000,0.0000,27.7900
10.0000,1-polinomial,2,0.9978,0.0025,2.1579
10.0000,1-polinomial,3,0.9964,0.0032,0.5338
10.0000,1-polinomial,4,0.9949,0.0037,2.0687
100.0000,1-polinomial,1,0.9993,0.0014,15.9357
100.0000,1-polinomial,2,0.9978,0.0025,0.3154
100.0000,1-polinomial,3,0.9978,0.0025,7.3737
100.0000,1-polinomial,4,0.9957,0.0035,3.1549
1000.0000,1-polinomial,1,0.9993,0.0014,16.4489
1000.0000,1-polinomial,2,0.9978,0.0025,0.3089
1000.0000,1-polinomial,3,0.9978,0.0025,7.3062
1000.0000,1-polinomial,4,0.9978,0.0025,1.9796
0.0100,2-radial,1,0.6061,0.0258,1.7846
0.1000,2-radial,1,0.7371,0.0232,2.2118
1.0000,2-radial,1,0.8675,0.0179,2.2048
10.0000,2-radial,1,0.9080,0.0152,2.1918
100.0000,2-radial,1,0.9073,0.0153,2.2217
1000.0000,2-radial,1,0.9073,0.0153,2.2231
0.0100,3-sigmoide,1,0.5445,0.0263,2.5750
0.1000,3-sigmoide,1,0.4301,0.0261,3.4141
1.0000,3-sigmoide,1,0.3353,0.0249,2.9256
10.0000,3-sigmoide,1,0.3172,0.0245,2.1685
100.0000,3-sigmoide,1,0.6792,0.0246,1.8602
1000.0000,3-sigmoide,1,0.7140,0.0238,0.8684
