Numero-gaussianas|Numero-maximo-iteraciones|Porcentaje-error|Intervalo-Confianza
1|2|0.57929|0.40026
1|4|0.57929|0.40026
1|8|0.57929|0.40026
1|16|0.57929|0.40026
1|32|0.57929|0.40026
2|2|0.43447|0.34689
2|4|0.14482|0.20057
2|8|0.14482|0.20057
2|16|0.14482|0.20057
2|32|0.14482|0.20057
3|2|0.21723|0.24556
3|4|0.21723|0.24556
3|8|0.21723|0.24556
3|16|0.21723|0.24556
3|32|0.21723|0.24556
4|2|0.14482|0.20057
4|4|0|0
4|8|0.072411|0.14187
4|16|0.072411|0.14187
4|32|0.072411|0.14187
5|2|0|0
5|4|0.072411|0.14187
5|8|0.14482|0.20057
5|16|0.14482|0.20057
5|32|0.14482|0.20057
6|2|0|0
6|4|0.072411|0.14187
6|8|0.072411|0.14187
6|16|0.072411|0.14187
6|32|0.072411|0.14187
7|2|0.14482|0.20057
7|4|0.14482|0.20057
7|8|0.14482|0.20057
7|16|0.14482|0.20057
7|32|0.14482|0.20057
8|2|0.072411|0.14187
8|4|0.28965|0.28344
8|8|0.21723|0.24556
8|2|0.072411|0.14187
8|4|0.28965|0.28344
8|8|0.21723|0.24556
8|16|0.21723|0.24556
8|32|0.21723|0.24556
9|2|0.072411|0.14187
9|4|0.21723|0.24556
9|8|0.21723|0.24556
9|16|0.21723|0.24556
9|32|0.21723|0.24556
10|2|0.072411|0.14187
10|4|0.14482|0.20057
10|8|0.14482|0.20057
10|16|0.14482|0.20057
10|32|0.14482|0.20057
11|2|0.14482|0.20057
11|4|0.072411|0.14187
11|8|0.072411|0.14187
11|16|0.072411|0.14187
11|32|0.072411|0.14187
12|2|0.072411|0.14187
12|4|0.28965|0.28344
12|8|0.36206|0.31678
12|16|0.36206|0.31678
12|32|0.36206|0.31678
13|2|0|0
13|4|0.072411|0.14187
13|8|0.14482|0.20057
13|16|0.072411|0.14187
13|32|0.072411|0.14187
14|2|0.072411|0.14187
14|4|0.072411|0.14187
14|8|0.14482|0.20057
14|16|0.14482|0.20057
14|32|0.14482|0.20057
15|2|0.072411|0.14187
15|4|0.14482|0.20057
15|8|0.072411|0.14187
15|16|0.072411|0.14187
15|32|0.072411|0.14187
16|2|0.072411|0.14187
16|4|0.14482|0.20057
16|8|0.14482|0.20057
16|16|0.21723|0.24556
16|32|0.21723|0.24556
17|2|0.072411|0.14187
17|4|0.14482|0.20057
17|8|0.21723|0.24556
17|16|0.21723|0.24556
17|32|0.21723|0.24556
18|2|0.072411|0.14187
18|4|0.28965|0.28344
18|8|0.28965|0.28344
18|16|0.28965|0.28344
18|32|0.28965|0.28344
19|2|0.072411|0.14187
19|4|0.072411|0.14187
19|8|0.14482|0.20057
19|16|0.14482|0.20057
19|32|0.14482|0.20057
20|2|0.072411|0.14187
20|4|0.21723|0.24556
20|8|0.21723|0.24556
20|16|0.21723|0.24556
20|32|0.21723|0.24556
21|2|0|0
21|4|0.14482|0.20057
21|8|0.21723|0.24556
21|16|0.21723|0.24556
21|32|0.21723|0.24556
22|2|0.072411|0.14187
22|4|0.14482|0.20057
22|8|0.21723|0.24556
22|16|0.21723|0.24556
22|32|0.21723|0.24556
23|2|0.072411|0.14187
23|4|0.072411|0.14187
23|8|0.072411|0.14187
23|16|0.072411|0.14187
23|32|0.072411|0.14187
24|2|0.072411|0.14187
24|4|0.14482|0.20057
24|8|0.21723|0.24556
24|16|0.21723|0.24556
24|32|0.21723|0.24556
25|2|0.072411|0.14187
25|4|0.21723|0.24556
25|8|0.21723|0.24556
25|16|0.21723|0.24556
25|32|0.21723|0.24556
26|2|0.072411|0.14187
26|4|0.28965|0.28344
26|8|0.28965|0.28344
26|16|0.28965|0.28344
26|32|0.28965|0.28344
27|2|0.072411|0.14187
27|4|0.072411|0.14187
27|8|0.14482|0.20057
27|16|0.14482|0.20057
27|32|0.14482|0.20057
28|2|0.072411|0.14187
28|4|0.14482|0.20057
28|8|0.14482|0.20057
28|16|0.14482|0.20057
28|32|0.14482|0.20057
29|2|0.072411|0.14187
29|4|0.21723|0.24556
29|8|0.14482|0.20057
29|16|0.14482|0.20057
29|32|0.14482|0.20057
