Numero-gaussianas|Numero-maximo-iteraciones|Porcentaje-error|Intervalo-Confianza
1|2|20.329|1.7607
1|4|20.329|1.7607
1|8|20.329|1.7607
1|16|20.329|1.7607
1|32|20.329|1.7607
2|2|21.176|1.7874
2|4|18.834|1.7106
2|8|18.585|1.7018
2|16|18.585|1.7018
2|32|18.585|1.7018
3|2|17.788|1.6731
3|4|16.741|1.6334
3|8|16.542|1.6256
3|16|16.542|1.6256
3|32|16.542|1.6256
4|2|17.24|1.6526
4|4|13.503|1.4952
4|8|13.204|1.4811
4|16|13.204|1.4811
4|32|13.204|1.4811
5|2|18.435|1.6965
5|4|13.901|1.5136
5|5|12.407|1.4423
5|8|12.407|1.4423
5|16|12.407|1.4423
5|32|12.407|1.4423
6|2|16.642|1.6295
6|4|13.403|1.4905
6|8|12.755|1.4595
6|16|12.755|1.4595
6|32|12.755|1.4595
7|2|16.692|1.6315
7|4|12.307|1.4373
7|5|11.609|1.4015
7|6|11.609|1.4015
7|8|11.609|1.4015
7|16|11.609|1.4015
7|32|11.609|1.4015
8|2|17.788|1.6731
8|4|12.955|1.4692
8|8|12.506|1.4472
8|16|12.506|1.4472
8|32|12.506|1.4472
9|2|16.442|1.6217
9|4|11.809|1.4119
9|5|11.609|1.4015
9|6|11.31|1.3857
9|7|11.31|1.3857
9|8|11.31|1.3857
9|16|11.31|1.3857
9|32|11.31|1.3857
10|2|17.14|1.6488
10|4|12.456|1.4447
10|8|11.56|1.3989
10|16|11.56|1.3989
10|32|11.56|1.3989
11|2|16.891|1.6392
11|4|11.659|1.4041
11|8|11.958|1.4196
11|16|11.958|1.4196
11|32|11.958|1.4196
12|2|16.642|1.6295
12|4|11.908|1.417
12|8|11.46|1.3936
12|16|11.46|1.3936
12|32|11.46|1.3936
13|2|17.19|1.6507
13|4|12.357|1.4398
13|8|11.809|1.4119
13|16|11.809|1.4119
13|32|11.809|1.4119
14|2|15.994|1.6037
14|4|12.157|1.4297
14|8|11.56|1.3989
14|16|11.56|1.3989
14|32|11.56|1.3989
15|2|15.944|1.6016
15|4|11.609|1.4015
15|5|11.211|1.3803
15|6|11.011|1.3695
15|8|11.011|1.3695
15|16|11.011|1.3695
15|32|11.011|1.3695
16|2|16.343|1.6177
16|4|10.812|1.3586
16|5|10.713|1.3531
16|6|10.862|1.3613
16|8|10.862|1.3613
17|3|11.261|1.383
17|4|11.161|1.3776
17|5|11.51|1.3962
17|6|11.36|1.3883
17|7|11.36|1.3883
18|3|12.456|1.4447
18|4|11.659|1.4041
18|5|11.261|1.383
18|6|11.56|1.3989
18|7|11.56|1.3989
19|3|10.962|1.3668
19|4|10.563|1.3447
19|5|10.563|1.3447
19|6|10.463|1.3391

20|3|12.407|1.4423
20|4|11.46|1.3936
20|5|11.161|1.3776
20|6|11.011|1.3695
20|7|11.011|1.3695
21|3|11.46|1.3936
21|4|11.51|1.3962
21|5|11.56|1.3989
21|6|11.46|1.3936
21|7|11.46|1.3936
22|3|11.759|1.4093
22|4|11.41|1.391
22|5|11.011|1.3695
22|6|10.812|1.3586
22|7|10.812|1.3586
23|6|10.862|1.3613
24|6|10.613|1.3475
25|6|11.211|1.3803
26|6|11.56|1.3989
27|6|11.759|1.4093
28|6|11.211|1.3803
29|6|10.762|1.3558
30|6|10.713|1.3531
31|6|10.962|1.3668
32|6|11.809|1.4119
33|6|10.214|1.3249
34|6|11.41|1.391
35|6|11.56|1.3989
36|6|10.762|1.3558
37|6|10.962|1.3668
38|6|10.713|1.3531
39|6|12.407|1.4423
40|6|11.46|1.3936
41|6|11.011|1.3695
42|6|12.506|1.4472
